TRGID,ProgramName,MasterProgramName,CategoryName,Manufacturer,Classification_PHYSICAL CONDITION,Classification_CONDITION,RTVType,OrderNumber,Sale Price (Discount applied),Retail Price On Sale Date,MR_LMR_UPC_AverageCategoryRetail,UPCRetail,Order Type Sold On,Marketplace Sold On,OrderCustomerName,OrderCustomerCompanyName,MarketplacePONumber,SortingIndex,LocationID,OrderCreatedDate
TRG00001,DALLX-HEADPHONES,Walmart Computer Parts (Finished),Computers,Samsung,Good,A,RTV Approved,ORD-10001,118.51,57.95,233.51,98.13,Wholesale,Shopify,Sam Patel,Acme Returns LLC,PO-1,,,2026-08-12
TRG00002,WFS-OVERFLOW,Walmart Computer Parts (Finished),Tablets,Dell,Fair,C,,ORD-10002,62.63,76.59,96.37,203.50,Retail,eBay,Sam Patel,Acme Returns LLC,PO-2,,,2026-09-14
TRG00003,MIAFL-HEAD-OFFICE,Walmart Monitors (Finished),Headphones,HP,Damaged,C,Non RTV,ORD-10003,129.75,128.42,215.84,45.74,Wholesale,Shopify,Jordan Lee,Acme Returns LLC,PO-3,,,2026-09-15
TRG00004,DALLX-HEADPHONES,Open Box Returns,TVs,Samsung,Very Good,B,,ORD-10004,125.58,201.03,167.62,113.38,Liquidation,eBay,Alex Nguyen,Acme Returns LLC,PO-4,3,LOC-31,2026-08-19
TRG00006,BRTON-WM-FOO,Walmart Monitors (Finished),Headphones,HP,Very Good,B,Non RTV,ORD-10006,26.26,60.12,169.44,175.51,Liquidation,Walmart,Alex Nguyen,Acme Returns LLC,PO-6,,,2026-08-10
TRG00009,MILON-WM-DOTCA-RTV,Specialty,Tablets,Samsung,Fair,A,RTV Liquidate,ORD-10009,161.95,172.11,109.56,37.20,Liquidation,Walmart,Sam Patel,Acme Returns LLC,PO-9,8,LOC-21,2026-08-07
TRG00011,MILON-WM-DOTCA-RTV,Walmart Monitors (Finished),Tablets,Samsung,Fair,B,,ORD-10011,164.89,148.65,211.11,188.54,Retail,eBay,Alex Nguyen,Acme Returns LLC,PO-11,,,2026-09-09
TRG00014,BRTON-WM-BAR,Walmart Headphones & Speakers (Not Apple) (Finished),Accessories,Samsung,Very Good,A,Non RTV,ORD-10014,137.66,140.75,77.48,237.22,Liquidation,eBay,Sam Patel,Acme Returns LLC,PO-14,,,2026-09-08
TRG00015,BRTON-WM-FOO,Walmart Computers Parts (Finished),Headphones,Samsung,Good,B,,ORD-10015,153.19,160.11,235.12,115.57,Retail,Walmart,Jordan Lee,Acme Returns LLC,PO-15,4,LOC-52,2026-08-12
TRG00018,MILON-WM-DOTCA-RTV,Warehouse Direct,TVs,HP,Good,B,,ORD-10018,65.53,40.11,48.48,204.17,Retail,Shopify,Jordan Lee,Acme Returns LLC,PO-18,,,2026-08-14
